Problem,Solution
1,233168
2,4613732
3,6857
4,906609
5,232792560
6,25164150
7,104743
8,23514624000
9,31875000
10,142913828922
11,70600674
12,76576500
13,5537376230
14,837799
15,137846528820
16,1366
17,21124
18,1074
19,171
20,648
21,31626
22,871198282
23,4179871
24,2783915460
25,4782
26,983
27,-59231
28,669171001
29,9183
30,443839
31,73682
32,
33,
34,40730
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,7273
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
